icao,iata,name,city,subd,country,elevation,lat,lon,tz,lid
EBAM,,Amougies Airport,Mont-de-l'Enclus,Wallonia,BE,49,50.7401008606,3.4848999977,Europe/Brussels,
EBAR,,Sterpenich Airport,Arlon,Wallonia,BE,1138,49.6627998352,5.8869400024,Europe/Brussels,
EBAV,,Avernas-le-Bauduin Airport,Hannut,Wallonia,BE,394,50.7066993713,5.0680599213,Europe/Brussels,
EBAW,ANR,Antwerp International Airport (Deurne),Antwerp,Flanders,BE,39,51.1893997192,4.4602799416,Europe/Brussels,
EBBE,,Beauvechain Air Base,Beauvechain,Wallonia,BE,370,50.7585983276,4.7683300972,Europe/Brussels,
EBBG,,Michamps Airport,Bastogne,Wallonia,BE,1770,50.0527992249,5.7986102104,Europe/Brussels,
EBBL,,Kleine Brogel Air Base,Kleine Brogel,Flanders,BE,200,51.1683006287,5.4699997902,Europe/Brussels,
EBBN,,Bullingen Airport,Bullingen,Wallonia,BE,2067,50.4150009155,6.2763900757,Europe/Brussels,
EBBO,,Mogimont Airport,Bouillon,Wallonia,BE,1394,49.8664016724,5.0680599213,Europe/Brussels,
EBBR,BRU,Brussels Airport,Brussels,Flanders,BE,184,50.9014015198,4.4844398499,Europe/Brussels,
EBBT,,Brasschaat Air Base,Brasschaat,Flanders,BE,76,51.340801239,4.5043997765,Europe/Brussels,
EBBW,,Wonck Airport,Bassenge,Flanders,BE,367,50.778301239,5.6166701317,Europe/Brussels,
EBBX,,Jehonville Air Base,Bertrix,Wallonia,BE,1514,49.8917007446,5.2238898277,Europe/Brussels,
EBBY,,Baisy-Thy Airport,Genappe,Wallonia,BE,525,50.568611145,4.4347219467,Europe/Brussels,
EBBZ,,Buzet Airstrip,Pont-A-Celles,Wallonia,BE,522,50.5416984558,4.3811101913,Europe/Brussels,
EBCF,,Cerfontaine Nouv Airport,Cerfontaine,Wallonia,BE,961,50.1528015137,4.3872199059,Europe/Brussels,
EBCI,CRL,Brussels South Charleroi Airport,Brussels,Wallonia,BE,614,50.4592018127,4.4538202286,Europe/Brussels,
EBCR,,Ronvaux Airport,Ciney,Wallonia,BE,1076,50.2472229004,5.1138892174,Europe/Brussels,
EBCS,,Saint-Remy Airport,Chimay,Wallonia,BE,820,50.0583000183,4.2819399834,Europe/Brussels,
EBCV,,Chievres Air Base,Chievres,Wallonia,BE,194,50.5758018494,3.8310000896,Europe/Brussels,
EBDT,,Schaffen Airport,Diest,Flanders,BE,100,50.9991989136,5.065559864,Europe/Brussels,
EBFN,,Koksijde Air Base,Koksijde,Flanders,BE,20,51.0903015137,2.652780056,Europe/Brussels,
EBFS,,Florennes Air Base,Florennes,Wallonia,BE,935,50.2433013916,4.6458301544,Europe/Brussels,
EBGB,,Grimbergen Airport,Grimbergen,Flanders,BE,70,50.9494018555,4.3933300972,Europe/Brussels,
EBGG,,Overboelare Airport,Geraardsbergen,Flanders,BE,56,50.7555999756,3.8638899326,Europe/Brussels,
EBHE,,Couthuin Airport,Heron,Wallonia,BE,607,50.538898468,5.10916996,Europe/Brussels,
EBHN,,Hoevenen Airport,Hoevenen,Flanders,BE,10,51.306098938,4.3872199059,Europe/Brussels,
EBIS,,Ath/Isieres Airport,Isieres,Wallonia,BE,98,50.6641998291,3.8044400215,Europe/Brussels,
EBKH,,Balekeiheuvel Airport,Balen,Flanders,BE,131,51.1782989502,5.2209200859,Europe/Brussels,
EBKT,KJK,Wevelgem Airport,Wevelgem,Flanders,BE,64,50.817199707,3.2047200203,Europe/Brussels,
EBLB,,Elsenborn Airport,Butgenbach,Wallonia,BE,1830,50.4817008972,6.1819400787,Europe/Brussels,
EBLE,,Beverlo Air Base,Leopoldsburg,Flanders,BE,207,51.1194000244,5.3008298874,Europe/Brussels,
EBLG,LGG,Liege Airport,Liege,Wallonia,BE,659,50.6374015808,5.4432201385,Europe/Brussels,
EBLI,,Lierneux Airport,Lierneux,Wallonia,BE,1411,50.2867012024,5.8363900185,Europe/Brussels,
EBLN,,Liernu Airport,Eghezee,Wallonia,BE,564,50.5806007385,4.7925000191,Europe/Brussels,
EBMB,,Melsbroek Air Base,Brussels,Flanders,BE,184,50.901389,4.4844444444,Europe/Brussels,
EBMG,,Matagne-la-Petite Airport,Doische,Wallonia,BE,787,50.1046981812,4.6380600929,Europe/Brussels,
EBML,,Maillen Airport,Assesse,Wallonia,BE,886,50.3741989136,4.9277801514,Europe/Brussels,
EBMO,,Moorsele Airport,Moorsele,Flanders,BE,66,50.8527984619,3.1473100185,Europe/Brussels,
EBNE,,Neerpelt Airport,Neerpelt,Flanders,BE,148,51.2119445801,5.4786109924,Europe/Brussels,
EBNM,QNM,Suarlee Airport,Namur,Wallonia,BE,594,50.4879989624,4.7689199448,Europe/Brussels,
EBNO,,Outer Airport,Ninove,Flanders,BE,151,50.8544006348,3.9852800369,Europe/Brussels,
EBOR,,Orchimont Airport,Vresse-Sur-Semois,Wallonia,BE,1312,49.9071998596,4.9363899231,Europe/Brussels,
EBOS,OST,Ostend-Bruges International Airport,Ostend,Flanders,BE,13,51.1988983154,2.8622200489,Europe/Brussels,
EBSG,,Saint-Ghislain Airport,Saint Ghislain,Wallonia,BE,75,50.4575004578,3.8202800751,Europe/Brussels,
EBSH,,St Hubert Airport,Saint Hubert,Wallonia,BE,1930,50.035900116,5.404250145,Europe/Brussels,
EBSL,,Zutendaal Air Base,Zutendaal,Flanders,BE,312,50.9474983215,5.5905599594,Europe/Brussels,
EBSP,,Spa (la Sauveniere) Airport,Spa,Wallonia,BE,1581,50.4824981689,5.910299778,Europe/Brussels,
EBST,,Sint Truiden Airport,Sint Truiden,Flanders,BE,246,50.7919006348,5.2016701698,Europe/Brussels,
EBSU,,Saint Hubert Air Base,Saint Hubert,Wallonia,BE,1930,50.0344009399,5.4408102036,Europe/Brussels,
EBTN,,Goetsenhoven Air Base,Tienen,Flanders,BE,246,50.7817001343,4.9577798843,Europe/Brussels,
EBTX,,Theux (Verviers) Airport,Verviers,Wallonia,BE,1099,50.5526008606,5.8550300598,Europe/Brussels,
EBTY,,Tournai/Maubray Airport,Tournai,Wallonia,BE,161,50.5297012329,3.4945499897,Europe/Brussels,
EBUL,,Ursel Air Base,Ursel,Flanders,BE,95,51.1441993713,3.4755599499,Europe/Brussels,
EBWE,,Weelde Air Base,Weelde,Flanders,BE,105,51.3947982788,4.9601898193,Europe/Brussels,
EBZH,QHA,Hasselt Airport,Hasselt,Flanders,BE,141,50.9700012207,5.3750700951,Europe/Brussels,
EBZR,OBL,Oostmalle Air Base,Zoersel,Flanders,BE,53,51.2647018433,4.7533302307,Europe/Brussels,
EBZU,,Zuienkerke Airport,Zuinkerke,Flanders,BE,16,51.2566986084,3.1405599117,Europe/Brussels,
EBZW,,Genk Zwartberg Airport,Genk,Flanders,BE,278,51.0153999329,5.5264701843,Europe/Brussels,
EDAB,,Bautzen Airport,Bautzen,Saxony,DE,568,51.193611145,14.5197219849,Europe/Berlin,
EDAC,AOC,Altenburg-Nobitz Airport,Altenburg,Thuringia,DE,640,50.9819450378,12.5063886642,Europe/Berlin,
EDAD,,Dessau Airport,Dessau,Saxony-Anhalt,DE,187,51.831693541,12.1909618378,Europe/Berlin,
EDAE,,Eisenhuttenstadt Airport,Eisenhuttenstadt,Brandenburg,DE,144,52.1972236633,14.5855560303,Europe/Berlin,
EDAG,,Grosruckerswalde Airport,Marienberg,Saxony,DE,2198,50.6441688538,13.1263885498,Europe/Berlin,
EDAH,HDF,Heringsdorf Airport,Heringsdorf,Mecklenburg-Vorpommern,DE,93,53.8787002563,14.152299881,Europe/Berlin,
EDAI,,Segeletz Airport,Neustadt,Brandenburg,DE,141,52.8266677856,12.5419435501,Europe/Berlin,
EDAJ,,Gera-Leumnitz Airport,Gera,Thuringia,DE,1014,50.8816680908,12.1358327866,Europe/Berlin,
EDAK,,Grosenhain Airport,Grosenhain,Saxony,DE,417,51.3080558777,13.5555562973,Europe/Berlin,
EDAM,,Merseburg Airport,Merseburg,Saxony-Anhalt,DE,341,51.363609314,11.9483327866,Europe/Berlin,
EDAN,,Neustadt-Glewe Airport,Neustadt-Glewe,Mecklenburg-Vorpommern,DE,115,53.3597221375,11.615278244,Europe/Berlin,
EDAO,,Nordhausen Airport,Nordhausen,Thuringia,DE,689,51.493057251,10.8333330154,Europe/Berlin,
EDAP,,Neuhausen Airport,Cottbus,Brandenburg,DE,279,51.6847229004,14.4230556488,Europe/Berlin,
EDAQ,,Halle-Oppin Airport,Oppin,Saxony-Anhalt,DE,348,51.5522232056,12.0538892746,Europe/Berlin,
EDAR,,Pirna-Pratzschwitz Airport,Pirna,Saxony,DE,400,50.9791679382,13.9097223282,Europe/Berlin,
EDAS,,Finsterwalde/Heinrichsruh Airport,Finsterwalde,Brandenburg,DE,384,51.6344451904,13.6755561829,Europe/Berlin,
EDAT,,Nardt Airport,Hoyerswerda,Saxony,DE,384,51.4511108398,14.1994438171,Europe/Berlin,
EDAU,,Riesa-Gohlis Airport,Riesa,Saxony,DE,322,51.2936096191,13.3561105728,Europe/Berlin,
EDAV,,Eberswalde-Finow Airport,Eberswalde,Brandenburg,DE,121,52.8272209167,13.693611145,Europe/Berlin,
EDAW,,Roitzschjora Airport,Roitzschjora,Saxony,DE,289,51.5777778625,12.4944438934,Europe/Berlin,
EDAX,REB,Rechlin-Larz Airport,Larz,Mecklenburg-Vorpommern,DE,220,53.306388855,12.7522220612,Europe/Berlin,
EDAY,,Strausberg Airport,Strausberg,Brandenburg,DE,262,52.5805549622,13.9166669846,Europe/Berlin,
EDAZ,,Schonhagen Airport,Trebbin,Brandenburg,DE,131,52.2036094666,13.1563892365,Europe/Berlin,
EDBA,,Arnstadt-Alkersleben Airport,Wulfershausen,Thuringia,DE,1145,50.8416671753,11.0694437027,Europe/Berlin,
