,lat,lon,weather,time,pressure,temperature
0,30.36,-89.61,2147483647,2023-03-06 11:00:00,-1e+100,298.25
1,46.56,-90.44,2147483647,2023-03-06 10:00:00,-1e+100,273.35
2,-74.37,164.14,9,2023-03-06 11:00:00,-1e+100,265.2
3,-74.37,164.14,9,2023-03-06 11:00:00,-1e+100,265.4
4,46.56,-90.44,2147483647,2023-03-06 11:00:00,-1e+100,273.35
5,28.14,-96.83,2147483647,2023-03-06 11:00:00,-1e+100,-1e+100
6,28.14,-96.83,2147483647,2023-03-06 10:00:00,-1e+100,-1e+100
7,46.09,-85.44,2147483647,2023-03-06 10:00:00,-1e+100,274.15000000000003
8,33.76,-118.27,2147483647,2023-03-06 11:00:00,-1e+100,-1e+100
9,37.41,-76.71,2147483647,2023-03-06 11:00:00,-1e+100,277.45
10,37.41,-76.71,2147483647,2023-03-06 10:00:00,-1e+100,277.65000000000003
11,43.28,-124.32,2147483647,2023-03-06 10:00:00,-1e+100,275.95
12,41.64,-87.14,2147483647,2023-03-06 11:00:00,-1e+100,279.35
13,-66.73,112.75,2147483647,2023-03-06 10:00:00,-1e+100,261.95
14,-71.89,171.21,2147483647,2023-03-06 10:00:00,97830.0,267.27
15,50.57,11.8,17,2023-03-06 11:00:00,-1e+100,273.75
16,53.06,7.9,13,2023-03-06 11:00:00,-1e+100,275.45
17,-66.73,112.75,2147483647,2023-03-06 08:00:00,-1e+100,262.55
18,-71.89,171.21,2147483647,2023-03-06 11:00:00,-1e+100,266.15
19,-74.37,164.14,9,2023-03-06 11:00:00,-1e+100,265.0
20,-76.72,162.96,2147483647,2023-03-06 12:00:00,-1e+100,255.45000000000002
21,-74.37,164.14,9,2023-03-06 11:00:00,-1e+100,264.8
22,-1e+100,-1e+100,2147483647,2023-03-06 12:00:00,-1e+100,281.75
23,12.13,15.02,2,2023-03-06 12:00:00,-1e+100,314.05
24,-7.97,-14.4,8,2023-03-06 12:00:00,-1e+100,302.95
25,19.31,81.25,2147483647,2023-03-06 12:00:00,-1e+100,298.95
26,-16.18,33.58,10,2023-03-06 12:00:00,-1e+100,307.85
27,-75.1,123.41,2147483647,2023-03-06 12:00:00,-1e+100,227.85
28,-74.37,164.14,9,2023-03-06 11:00:00,-1e+100,265.2
29,-74.37,164.14,9,2023-03-06 11:00:00,-1e+100,265.0
30,40.25,40.22,6,2023-03-06 09:00:00,85000.0,278.85
31,32.37,-64.67,1,2023-03-06 12:00:00,-1e+100,290.55
32,-1e+100,-1e+100,10,2023-03-06 12:00:00,-1e+100,296.55
33,43.35,-124.32,2147483647,2023-03-06 10:00:00,-1e+100,-1e+100
34,40.08,-74.87,2147483647,2023-03-06 10:00:00,-1e+100,276.75
35,-14.28,-170.69,2147483647,2023-03-06 11:00:00,-1e+100,-1e+100
36,67.58,-164.07,2147483647,2023-03-06 11:00:00,-1e+100,269.85
37,56.9,-154.25,2147483647,2023-03-06 11:00:00,-1e+100,276.75
38,40.77,-124.22,2147483647,2023-03-06 11:00:00,-1e+100,-1e+100
39,-29.09,-53.83,2147483647,2023-03-06 11:00:00,-1e+100,293.35
40,57.46,-134.87,2147483647,2023-03-06 11:00:00,-1e+100,-1e+100
41,60.78,-148.68,2147483647,2023-03-06 11:00:00,-1e+100,270.95
42,47.75,-90.34,2147483647,2023-03-06 11:00:00,-1e+100,273.35
43,28.94,-95.29,2147483647,2023-03-06 11:00:00,-1e+100,293.45
44,27.83,-97.49,2147483647,2023-03-06 11:00:00,-1e+100,-1e+100
45,48.31,-71.13,2147483647,2023-03-06 09:00:00,-1e+100,267.04
46,30.67,-88.03,2147483647,2023-03-06 11:00:00,-1e+100,289.45
47,27.93,-82.43,2147483647,2023-03-06 11:00:00,-1e+100,-1e+100
48,41.73,-86.93,2147483647,2023-03-06 11:00:00,-1e+100,278.85
49,41.7,-83.26,2147483647,2023-03-06 11:00:00,-1e+100,276.55
50,37.03,-76.08,2147483647,2023-03-06 11:00:00,-1e+100,282.65000000000003
51,42.55,-80.05,2147483647,2023-03-06 11:00:00,-1e+100,-1e+100
52,65.88,-89.45,2147483647,2023-03-06 10:00:00,-1e+100,251.18
53,48.31,-71.13,2147483647,2023-03-06 10:00:00,-1e+100,266.63
54,50.6,-112.8,2147483647,2023-03-06 11:00:00,-1e+100,255.53
55,49.9,-112.73,2147483647,2023-03-06 10:00:00,-1e+100,259.29
56,39.93,-75.14,2147483647,2023-03-06 11:00:00,-1e+100,277.85
57,41.31,-72.08,2147483647,2023-03-06 11:00:00,-1e+100,-1e+100
58,-1e+100,-1e+100,8,2023-03-06 12:00:00,-1e+100,298.95
59,-51.42,-60.56,2147483647,2023-03-06 12:00:00,-1e+100,278.3
60,-51.67,-58.11,2147483647,2023-03-06 12:00:00,-1e+100,278.38
61,0.52,123.07,6,2023-03-06 09:00:00,-1e+100,302.66
62,36.15,-5.35,2147483647,2023-03-06 12:00:00,-1e+100,290.94
63,34.58,32.98,2147483647,2023-03-06 12:00:00,-1e+100,290.94
64,-17.18,-70.93,2147483647,2023-03-06 11:00:00,-1e+100,288.75
65,-74.37,164.14,9,2023-03-06 11:00:00,-1e+100,265.0
66,-74.37,164.14,9,2023-03-06 11:00:00,-1e+100,265.0
67,0.52,123.07,6,2023-03-06 09:00:00,-1e+100,302.66
68,-36.65,140.52,2147483647,2023-03-06 12:00:00,-1e+100,287.85
69,-28.04,153.19,2147483647,2023-03-06 12:00:00,-1e+100,291.55
