,station,lat,lon,time,weather,weatherfont,weathersymbol,weathercolour,temperature,pressure,sl_pressure,dewpoint,windspeed,winddir,pressure3h_change
0,LMML,35.857498,14.4775,2023-03-23 23:45:00,,,,,12.0,1019.0,1019.1207562193657,10.0,4.0,310.0,"0       0.0
3       0.0
10      0.0
2453    0.0
2460    0.0
2462    0.0
2465    0.0
4642    0.0
Name: pressure, dtype: float64"
1,LATI,41.4146995544,19.7206001282,2023-03-23 23:50:00,,,,,8.0,1018.0,1018.1229412976062,6.0,3.0,170.0,"1       0.0
2       0.0
7       0.0
2461    0.0
2470    0.0
2521    0.0
Name: pressure, dtype: float64"
2,LATI,41.4146995544,19.7206001282,2023-03-23 23:50:00,,,,,8.0,1018.0,1018.1229412976062,6.0,3.0,170.0,"1       0.0
2       0.0
7       0.0
2461    0.0
2470    0.0
2521    0.0
Name: pressure, dtype: float64"
3,LMML,35.857498,14.4775,2023-03-23 23:45:00,,,,,12.0,1019.0,1019.1207562193657,10.0,4.0,310.0,"0       0.0
3       0.0
10      0.0
2453    0.0
2460    0.0
2462    0.0
2465    0.0
4642    0.0
Name: pressure, dtype: float64"
4,EHLW,53.2285995483,5.7605600357,2023-03-23 23:47:00,,,,,11.0,995.0,995.1191508559532,10.0,14.0,190.0,"4       0.0
5       0.0
764     0.0
851     0.0
866     0.0
976     0.0
1030    0.0
1858    0.0
1941    0.0
2403    0.0
2407    0.0
2455    0.0
2458    0.0
3426    0.0
3449    0.0
3482    0.0
3500    0.0
3520    0.0
4606    0.0
4608    0.0
4610    0.0
4614    0.0
4638    0.0
4640    0.0
Name: pressure, dtype: float64"
5,EHLW,53.2285995483,5.7605600357,2023-03-23 23:47:00,,,,,11.0,995.0,995.1191508559532,10.0,14.0,190.0,"4       0.0
5       0.0
764     0.0
851     0.0
866     0.0
976     0.0
1030    0.0
1858    0.0
1941    0.0
2403    0.0
2407    0.0
2455    0.0
2458    0.0
3426    0.0
3449    0.0
3482    0.0
3500    0.0
3520    0.0
4606    0.0
4608    0.0
4610    0.0
4614    0.0
4638    0.0
4640    0.0
Name: pressure, dtype: float64"
6,EEKE,58.2299003601,22.5095005035,2023-03-23 23:50:00,10.0,36.0,+,yellow,5.0,995.0,995.1218464203521,5.0,7.0,260.0,"6       0.0
481     0.0
2144    0.0
2474    0.0
2479    0.0
2967    0.0
Name: pressure, dtype: float64"
7,LATI,41.4146995544,19.7206001282,2023-03-23 23:50:00,,,,,8.0,1018.0,1018.1229412976062,6.0,3.0,170.0,"1       0.0
2       0.0
7       0.0
2461    0.0
2470    0.0
2521    0.0
Name: pressure, dtype: float64"
8,LHKE,46.9174995422,19.7492008209,2023-03-23 23:45:00,,,,,9.0,1015.0,1015.1214236293083,4.0,2.0,190.0,"8       0.0
44      0.0
1413    0.0
2522    0.0
2638    0.0
3857    0.0
Name: pressure, dtype: float64"
9,LHSN,47.1228981018,20.2355003357,2023-03-23 23:45:00,,,,,9.0,1014.0,1014.1214532252169,4.0,4.0,160.0,"9       0.0
45      0.0
1418    0.0
2524    0.0
2639    0.0
3862    0.0
Name: pressure, dtype: float64"
10,LMML,35.857498,14.4775,2023-03-23 23:45:00,,,,,12.0,1019.0,1019.1207562193657,10.0,4.0,310.0,"0       0.0
3       0.0
10      0.0
2453    0.0
2460    0.0
2462    0.0
2465    0.0
4642    0.0
Name: pressure, dtype: float64"
11,EEPU,58.4189987183,24.4727993011,2023-03-23 23:50:00,61.0,36.0,^,green,5.0,995.0,995.1217528400086,5.0,11.0,240.0,"11      0.0
483     0.0
2145    0.0
2484    0.0
2513    0.0
2969    0.0
Name: pressure, dtype: float64"
12,EYKA,54.9639015198,24.0848007202,2023-03-23 23:50:00,,,,,9.0,1004.0,1004.1204365436271,7.0,9.0,250.0,"12      0.0
758     0.0
2193    0.0
2482    0.0
2517    0.0
3214    0.0
Name: pressure, dtype: float64"
13,EVRA,56.9235992432,23.9710998535,2023-03-23 23:50:00,,,,,8.0,999.0,999.1208966398287,6.0,7.0,220.0,"13      0.0
566     0.0
757     0.0
2481    0.0
3060    0.0
3213    0.0
Name: pressure, dtype: float64"
14,EVGA,56.778301239,24.8539009094,2023-03-23 23:50:00,,,,,8.0,999.0,999.1204419948174,6.0,10.0,230.0,"14      0.0
2483    0.0
Name: pressure, dtype: float64"
15,EEEI,59.2602996826,24.2084999084,2023-03-23 23:50:00,61.0,36.0,^,green,6.0,994.0,994.1211215580366,5.0,6.0,230.0,"15     0.0
462    0.0
Name: pressure, dtype: float64"
16,EETN,59.4132995605,24.8327999115,2023-03-23 23:50:00,61.0,36.0,^,green,6.0,994.0,994.1209365721675,5.0,3.0,190.0,"16      0.0
543     0.0
752     0.0
2480    0.0
3037    0.0
3208    0.0
Name: pressure, dtype: float64"
17,EETU,58.3074989319,26.6903991699,2023-03-23 23:50:00,61.0,36.0,^,green,7.0,996.0,996.1204799158098,6.0,9.0,230.0,"17      0.0
482     0.0
753     0.0
2146    0.0
2485    0.0
2514    0.0
2968    0.0
3209    0.0
Name: pressure, dtype: float64"
18,EYPA,55.9732017517,21.0939006805,2023-03-23 23:50:00,,,,,5.0,1003.0,1003.1227717595667,4.0,6.0,220.0,"18      0.0
759     0.0
2194    0.0
2511    0.0
2518    0.0
3215    0.0
Name: pressure, dtype: float64"
19,EVVA,57.35779953,21.5442008972,2023-03-23 23:50:00,,,,,6.0,999.0,999.1218607361965,4.0,16.0,250.0,"19      0.0
2192    0.0
2486    0.0
2516    0.0
Name: pressure, dtype: float64"
20,EVLA,56.5175018311,21.0969009399,2023-03-23 23:50:00,,,,,5.0,1001.0,1001.1225754627799,4.0,12.0,240.0,"20      0.0
756     0.0
2191    0.0
2487    0.0
2515    0.0
3212    0.0
Name: pressure, dtype: float64"
21,EYVI,54.6341018677,25.2858009338,2023-03-23 23:50:00,,,,,9.0,1004.0,1004.1193743538643,8.0,8.0,250.0,"21      0.0
567     0.0
760     0.0
2512    0.0
3061    0.0
3216    0.0
Name: pressure, dtype: float64"
22,EFHK,60.317199707,24.963300705,2023-03-23 23:50:00,49.0,36.0,R,red,-2.0,994.0,994.124508278551,-2.0,0.0,0.0,"22      0.0
139     0.0
544     0.0
754     0.0
2503    0.0
2706    0.0
3038    0.0
3210    0.0
Name: pressure, dtype: float64"
23,EFTP,61.414100647,23.6044006348,2023-03-23 23:50:00,,,,,-3.0,993.0,993.1242297811511,-4.0,2.0,70.0,"23      0.0
144     0.0
554     0.0
2504    0.0
2711    0.0
3048    0.0
Name: pressure, dtype: float64"
