ww,font,letter
0,,
1,,
2,,
3,,
4,36,%
5,36,&
6,36,","
7,36,(
8,36,)
9,36,*
10,36,+
11,36,'
12,36,_
13,36,.
14,36,/
15,36,0
16,36,1
17,36,2
18,36,3
19,36,4
20,36,5
21,36,6
22,36,7
23,36,8
24,36,9
25,36,:
26,36,;
27,36,<
28,36,=
29,36,>
30,36,?
31,36,@
32,36,A
33,36,B
34,36,C
35,36,D
36,36,E
37,36,F
38,36,G
39,36,H
40,36,I
41,36,J
42,36,K
43,36,L
44,36,M
45,36,N
46,36,O
47,36,P
48,36,Q
49,36,R
50,36,S
51,36,T
52,36,U
53,36,V
54,36,W
55,36,X
56,36,Y
57,36,Z
58,36,[
59,36,\
60,36,]
61,36,^
62,36,-
63,36,'
64,36,a
65,36,b
66,36,c
67,36,d
68,36,e
69,36,f
70,36,g
71,36,h
72,36,i
73,36,j
74,36,k
75,36,l
76,36,m
77,36,n
78,36,o
79,36,p
80,36,q
81,36,r
82,36,s
83,36,t
84,36,u
85,36,v
86,36,w
87,36,x
88,36,y
89,36,z
90,36,{
91,36,|
92,36,}
93,,
94,,
95,,
96,37,#
97,,
98,37,%
99,37,&
