,station,lat,lon,weatherfont,weathersymbol,weathercolour,wwletter
0,ETNG,50.9608,6.04242,,,,1110003600100002000300004000051000600007000080000
1,LIPK,44.1948,12.0701,36.0,',green,1110003600100002000300004000051000600007000080000
2,LGLR,39.65628,22.34,,,,1110003600100002000300004000051000600007000080000
3,LGSY,38.9676,24.4872,,,,1110003600100002000300004000051000600007000080000
4,LGTG,38.3398,23.565,,,,1110003600100002000300004000051000600007000080000
5,LGPZ,38.9255,20.7653,,,,1110003600100002000300004000051000600007000080000
6,LTAY,37.7856,29.7013,,,,1110003600100002000300004000051000600007000080000
7,LTBH,40.1377,26.4268,,,,1110003600100002000300004000051000600007000080000
8,LTBY,39.8099,30.5194,,,,1110003600100002000300004000051000600007000080000
9,LTCB,40.96667,38.08,,,,1110003600100002000300004000051000600007000080000
10,LTCN,37.53883,36.95352,,,,1110003600100002000300004000051000600007000080000
11,LTCT,39.97663,43.87665,,,,1110003600100002000300004000051000600007000080000
12,LTDA,36.36278,36.28222,,,,1110003600100002000300004000051000600007000080000
13,LTFD,39.5546,27.0138,,,,1110003600100002000300004000051000600007000080000
14,LTFG,36.29922,32.3006,,,,1110003600100002000300004000051000600007000080000
15,LTAL,41.3142,33.7958,,,,1110003600100002000300004000051000600007000080000
16,LTAS,41.5064,32.0886,,,,1110003600100002000300004000051000600007000080000
17,LTBO,38.6815,29.4717,,,,1110003600100002000300004000051000600007000080000
18,LTCL,37.9789,41.8404,,,,1110003600100002000300004000051000600007000080000
19,LTCO,39.65454,43.02598,,,,1110003600100002000300004000051000600007000080000
20,LTCP,37.7314,38.4689,,,,1110003600100002000300004000051000600007000080000
21,LTCR,37.2233,40.6317,,,,1110003600100002000300004000051000600007000080000
22,LTFB,37.9507,27.329,,,,1110003600100002000300004000051000600007000080000
23,LTFK,40.2045,25.8833,,,,1110003600100002000300004000051000600007000080000
24,LBPG,42.2904,24.714,36.0,',green,1110003600100002000300004000051000600007000080000
25,LBPL,43.4514,24.5028,36.0,^,green,1110003600100002000300004000051000600007000080000
26,LBWB,43.4238,28.1813,36.0,',green,1110003600100002000300004000051000600007000080000
27,LTBD,37.815,27.8953,,,,1110003600100002000300004000051000600007000080000
28,EKVD,55.4363,9.33092,36.0,^,green,1110003600100002000300004000051000600007000080000
29,LTAB,39.935,32.7408,,,,1110003600100002000300004000051000600007000080000
30,LTAW,40.30743,36.36741,,,,1110003600100002000300004000051000600007000080000
31,LTBF,39.6193,27.926,,,,1110003600100002000300004000051000600007000080000
32,LTBG,40.318,27.9777,,,,1110003600100002000300004000051000600007000080000
33,LTBI,39.7841,30.5821,,,,1110003600100002000300004000051000600007000080000
34,LTBL,38.513,27.0101,,,,1110003600100002000300004000051000600007000080000
35,LTBQ,40.735,30.0833,,,,1110003600100002000300004000051000600007000080000
36,LTCI,38.4682,43.3323,,,,1110003600100002000300004000051000600007000080000
37,LTCK,38.7478,41.6612,,,,1110003600100002000300004000051000600007000080000
38,URMO,43.2051,44.6066,,,,1110003600100002000300004000051000600007000080000
39,LTAE,40.0789,32.5656,,,,1110003600100002000300004000051000600007000080000
40,LPOV,40.9159,-8.64592,,,,1110003600100002000300004000051000600007000080000
41,UMMG,53.602,24.0538,,,,1110003600100002000300004000051000600007000080000
42,UWLW,54.401,48.8027,,,,1110003600100002000300004000051000600007000080000
43,LGHI,38.3432,26.1406,,,,1110003600100002000300004000051000600007000080000
44,LGNX,37.0811,25.3681,,,,1110003600100002000300004000051000600007000080000
45,LGSO,37.4228,24.9509,,,,1110003600100002000300004000051000600007000080000
46,LKKB,50.1214,14.5436,,,,1110003600100002000300004000051000600007000080000
47,LKLN,49.6752,13.2746,,,,1110003600100002000300004000051000600007000080000
48,LTCD,39.7102,39.527,,,,1110003600100002000300004000051000600007000080000
49,LTFH,41.2545,36.5671,,,,1110003600100002000300004000051000600007000080000
50,UMOO,53.9549,30.0951,,,,1110003600100002000300004000051000600007000080000
51,LIBF,41.4329,15.535,,,,1110003600100002000300004000051000600007000080000
52,LIMA,45.0864,7.60337,,,,1110003600100002000300004000051000600007000080000
