,station,lat,lon,time,weather,weatherfont,weathersymbol,weathercolour,temperature,pressure,sl_pressure,dewpoint,windspeed,winddir,visibility,visual_range,cloudcover,pressure3h_change,rain,wwletter
542,EEEI,59.2603,24.2085,2024-04-29 23:50:00,,,,,8.0,1026.0,1327.0742079022064,7.0,5.0,280.0,10000.0,99999,,302.2742079022064,0.0,11160028051008020703026043270513022600007000080000
740,LGAL,40.8559,25.9563,2024-04-29 23:50:00,,,,,17.0,1020.0,1069.7114910409132,11.0,12.0,10.0,10000.0,99999,,48.111491040913165,0.0,11160001121017020110302004069751481600007000080000
744,LGKO,36.7933,27.0917,2024-04-29 23:50:00,,,,,17.0,1013.0,1981.1543959204025,12.0,12.0,350.0,10000.0,99999,,967.2543959204025,0.0,111600351210170201203013049811519672600007000080000
746,LGLM,39.9171,25.2363,2024-04-29 23:50:00,,,,,15.0,1021.0,1053.7842271685654,9.0,13.0,30.0,10000.0,99999,,32.68422716856537,0.0,1116000313101502090302104053751326600007000080000
764,LIMJ,44.4133,8.8375,2024-04-29 23:50:00,,,,,19.0,1019.0,1042.9433195660408,11.0,13.0,40.0,10000.0,99999,,23.743319566040782,0.0,11160004131019020110301904042951237600007000080000
811,ENRY,59.3789,10.7856,2024-04-29 23:50:00,,,,,6.0,1025.0,2222.4456407904145,5.0,6.0,150.0,10000.0,99999,,0.0,0.0,1116001506100602050302504222451000600007000080000
900,ETNG,50.9608,6.04242,2024-04-29 23:50:00,,,,,14.0,1019.0,1856.068501161876,10.0,2.0,,10000.0,99999,,836.8685011618759,0.0,111600360210140201003019048560518368600007000080000
909,EGJB,49.435,-2.60197,2024-04-29 23:50:00,,,,,10.0,1013.0,2410.166219532878,8.0,13.0,190.0,10000.0,99999,,1395.266219532878,0.0,111600191310100208030130441015113952600007000080000
918,EGNS,54.0833,-4.62389,2024-04-29 23:50:00,,,,,10.0,1007.0,1192.5620050067118,9.0,12.0,190.0,10000.0,99999,,185.8620050067118,0.0,11160019121010020903007041925511858600007000080000
1045,LGBL,39.2196,22.7943,2024-04-29 23:50:00,,,,,12.0,1021.0,1274.0886134761095,9.0,0.0,0.0,10000.0,99999,,251.2886134761095,0.0,11160000001012020903021042740512512600007000080000
1046,LGLR,39.65628,22.34,2024-04-29 23:50:00,,,,,12.0,1021.0,1813.4684408105866,9.0,0.0,0.0,10000.0,99999,,790.9684408105866,0.0,11160000001012020903021048134517909600007000080000
1049,LGTG,38.3398,23.565,2024-04-29 23:50:00,,,,,14.0,1021.0,2478.7801160018043,7.0,5.0,320.0,10000.0,99999,,1456.4801160018044,0.0,111600320510140207030210447875114564600007000080000
1125,LTAY,37.7856,29.7013,2024-04-29 23:50:00,,,,,9.0,1016.0,14.9959516221308,9.0,3.0,200.0,10000.0,99999,,-999.9040483778692,0.0,1116002003100902090301604149519990600007000080000
